pais,populacao
 Afghanistan ," 45,047,069 "
 Albania ," 2,751,025 "
 Algeria ," 48,028,334 "
 Andorra ," 83,753 "
 Angola ," 40,215,179 "
 Antigua and Barbuda ," 94,626 "
 Argentina ," 46,003,734 "
 Armenia ," 2,930,915 "
 Australia ," 27,227,096 "
 Austria ," 9,107,266 "
 Azerbaijan ," 10,454,855 "
 Bahamas ," 404,628 "
 Bahrain ," 1,675,572 "
 Bangladesh ," 177,818,044 "
 Barbados ," 282,724 "
 Belarus ," 8,937,018 "
 Belgium ," 11,774,642 "
 Belize ," 428,644 "
 Benin ," 15,170,419 "
 Bhutan ," 802,214 "
 Bolivia ," 12,749,291 "
 Bosnia and Herzegovina ," 3,114,242 "
 Botswana ," 2,603,388 "
 Brazil ," 213,562,666 "
 Brunei  ," 469,775 "
 Bulgaria ," 6,667,659 "
 Burkina Faso ," 24,601,700 "
 Burundi ," 14,729,157 "
 Cabo Verde ," 529,630 "
 Cambodia ," 18,051,219 "
 Cameroon ," 30,640,817 "
 Canada ," 40,467,728 "
 Central African Republic ," 5,698,984 "
 Chad ," 21,560,380 "
 Chile ," 19,945,850 "
 China ," 1,412,914,089 "
 Colombia ," 53,936,226 "
 Comoros ," 899,010 "
 Congo (Congo-Brazzaville) ," 6,637,785 "
 Costa Rica ," 5,174,789 "
 C̫te d'Ivoire ," 33,494,346 "
 Croatia ," 3,822,345 "
 Cuba ," 10,892,659 "
 Cyprus ," 1,382,334 "
 Czechia (Czech Republic) ," 10,527,781 "
 Democratic Republic of the Congo ," 116,452,162 "
 Denmark ," 6,023,520 "
 Djibouti ," 1,199,459 "
 Dominica ," 65,511 "
 Dominican Republic ," 11,609,500 "
 Ecuador ," 18,444,506 "
 Egypt ," 120,101,175 "
 El Salvador ," 6,391,253 "
 Equatorial Guinea ," 1,984,468 "
 Eritrea ," 3,682,669 "
 Estonia ," 1,331,062 "
" Eswatini (fmr. """"Swaziland"""") "," 1,269,859 "
 Ethiopia ," 138,902,185 "
 Fiji ," 937,282 "
 Finland ," 5,621,739 "
 France ," 66,746,401 "
 Gabon ," 2,647,399 "
 Gambia ," 2,884,079 "
 Georgia ," 3,804,642 "
 Germany ," 83,644,258 "
 Ghana ," 35,697,557 "
 Greece ," 9,897,115 "
 Grenada ," 117,362 "
 Guatemala ," 18,967,978 "
 Guinea ," 15,441,993 "
 Guinea-Bissau ," 2,297,808 "
 Guyana ," 840,890 "
 Haiti ," 12,037,506 "
 Holy See , 506 
 Honduras ," 11,184,760 "
 Hungary ," 9,585,818 "
 Iceland ," 402,329 "
 India ," 1,476,625,576 "
 Indonesia ," 287,886,782 "
 Iran ," 93,168,497 "
 Iraq ," 48,007,437 "
 Ireland ," 5,356,950 "
 Israel ," 9,647,689 "
 Italy ," 58,926,166 "
 Jamaica ," 2,833,403 "
 Japan ," 122,427,731 "
 Jordan ," 11,589,532 "
 Kazakhstan ," 21,083,626 "
 Kenya ," 58,636,412 "
 Kiribati ," 138,445 "
 Kuwait ," 5,102,773 "
 Kyrgyzstan ," 7,400,465 "
 Laos ," 7,974,017 "
 Latvia ," 1,835,935 "
 Lebanon ," 5,897,467 "
 Lesotho ," 2,389,336 "
 Liberia ," 5,853,949 "
 Libya ," 7,539,851 "
 Liechtenstein ," 40,368 "
 Lithuania ," 2,797,338 "
 Luxembourg ," 687,448 "
 Madagascar ," 33,522,052 "
 Malawi ," 22,785,535 "
 Malaysia ," 36,385,115 "
 Maldives ," 531,517 "
 Mali ," 25,932,275 "
 Malta ," 549,011 "
 Marshall Islands ," 35,075 "
 Mauritania ," 5,461,319 "
 Mauritius ," 1,265,059 "
 Mexico ," 132,997,658 "
 Micronesia ," 114,183 "
 Moldova ," 2,961,253 "
 Monaco ," 38,087 "
 Mongolia ," 3,556,798 "
 Montenegro ," 626,233 "
 Morocco ," 38,762,441 "
 Mozambique ," 36,639,851 "
 Myanmar (formerly Burma) ," 55,184,819 "
 Namibia ," 3,153,246 "
 Nauru ," 12,101 "
 Nepal ," 29,629,410 "
 Netherlands ," 18,448,775 "
 New Zealand ," 5,287,479 "
 Nicaragua ," 7,097,329 "
 Niger ," 28,814,878 "
 Nigeria ," 242,431,832 "
 North Korea ," 26,633,691 "
 North Macedonia ," 1,804,063 "
 Norway ," 5,652,989 "
 Oman ," 5,671,458 "
 Pakistan ," 259,299,791 "
 Palau ," 17,614 "
 Palestine State ," 5,692,790 "
 Panama ," 4,625,718 "
 Papua New Guinea ," 10,947,848 "
 Paraguay ," 7,095,279 "
 Peru ," 34,922,148 "
 Philippines ," 117,724,471 "
 Poland ," 37,843,188 "
 Portugal ," 10,395,362 "
 Qatar ," 3,173,559 "
 Romania ," 18,800,605 "
 Russia ," 143,394,458 "
 Rwanda ," 14,889,693 "
 Saint Kitts and Nevis ," 46,992 "
 Saint Lucia ," 180,488 "
 Saint Vincent and the Grenadines ," 99,245 "
 Samoa ," 220,528 "
 San Marino ," 33,605 "
 Sao Tome and Principe ," 244,994 "
 Saudi Arabia ," 35,165,787 "
 Senegal ," 19,366,548 "
 Serbia ," 6,641,964 "
 Seychelles ," 134,959 "
 Sierra Leone ," 8,996,745 "
 Singapore ," 5,905,748 "
 Slovakia ," 5,451,342 "
 Slovenia ," 2,114,573 "
 Solomon Islands ," 858,288 "
 Somalia ," 20,305,907 "
 South Africa ," 65,453,084 "
 South Korea ," 51,600,388 "
 South Sudan ," 12,436,037 "
 Spain ," 47,850,793 "
 Sri Lanka ," 23,348,315 "
 Sudan ," 53,282,719 "
 Suriname ," 645,256 "
 Sweden ," 10,701,047 "
 Switzerland ," 9,007,798 "
 Syria ," 26,472,497 "
 Tajikistan ," 10,978,599 "
 Tanzania ," 72,563,780 "
 Thailand ," 71,559,614 "
 Timor-Leste ," 1,436,923 "
 Togo ," 9,930,918 "
 Tonga ," 103,291 "
 Trinidad and Tobago ," 1,513,268 "
 Tunisia ," 12,415,138 "
 Turkey ," 87,926,082 "
 Turkmenistan ," 7,736,632 "
 Tuvalu ," 9,362 "
 Uganda ," 52,761,469 "
 Ukraine ," 39,535,849 "
 United Arab Emirates ," 11,574,682 "
 United Kingdom ," 69,931,528 "
 United States of America ," 349,035,494 "
 Uruguay ," 3,382,537 "
 Uzbekistan ," 37,724,223 "
 Vanuatu ," 342,564 "
 Venezuela ," 28,633,711 "
 Vietnam ," 102,177,431 "
 Yemen ," 42,961,653 "
 Zambia ," 22,521,915 "
 Zimbabwe ," 17,273,580 "
